stop,line,destination,url,station_id
Arret Strassen Grande Duchesse Charlotte,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-grande-duchesse-charlotte,8041052
Arret Strassen Hondseck Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-hondseck-quai-1,8009061
Arret Strassen Hondseck Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-hondseck-quai-1,8009061
Arret Strassen Hondseck Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-hondseck-quai-2,8008048
Arret Strassen Hondseck Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-hondseck-quai-2,8008048
Arret Strassen Huorgarten Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-huorgarten-quai-1,8009023
Arret Strassen Huorgarten Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-huorgarten-quai-1,8009023
Arret Strassen Huorgarten Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-huorgarten-quai-2,8008020
Arret Strassen Huorgarten Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-huorgarten-quai-2,8008020
Arret Strassen Kesseler Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kesseler-quai-1,8011261
Arret Strassen Kesseler Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kesseler-quai-1,8011261
Arret Strassen Kesseler Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kesseler-quai-1,8011261
Arret Strassen Kesseler Quai 2,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kesseler-quai-2,8010194
Arret Strassen Kesseler Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kesseler-quai-2,8010194
Arret Strassen Kesseler Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kesseler-quai-2,8010194
Arret Strassen Kiem Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kiem-quai-1,8030006
Arret Strassen Kiem Quai 2,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-kiem-quai-2,8030005
Arret Strassen Les Aubepines Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-les-aubepines-quai-1,8030126
Arret Strassen Les Aubepines Quai 2,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-les-aubepines-quai-2,8030141
Arret Strassen Les Thermes Quai 1,10,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-les-thermes-quai-1,8069032
Arret Strassen Les Thermes Quai 2,10,"BERTRANGE, Belle Étoile",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-les-thermes-quai-2,8069031
Arret Strassen Michel Angelo Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-michel-angelo-quai-1,8030096
Arret Strassen Michel Angelo Quai 2,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-michel-angelo-quai-2,8030101
Arret Strassen Oricher Hoehl,31,"CENTRE, Badanstalt",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-oricher-hoehl,8036024
Arret Strassen Oricher Hoehl,31,"RECKENTHAL, Oricher Hoehl",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-oricher-hoehl,8036024
Arret Strassen Primeurs,22,"STRASSEN, Primeurs",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-primeurs,2361003
Arret Strassen Primeurs,22,"CLOCHE D'OR, P+R Stade de Luxembourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-primeurs,2361003
Arret Strassen Reimerwee Quai 1,8,"LIMPERTSBERG, Lycée Michel Lucius",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-reimerwee-quai-1,8030050
Arret Strassen Reimerwee Quai 2,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-strassen-reimerwee-quai-2,8030039
